Ref,Risk,Category,Impact,Probability,Response,Cost exposure,Schedule exposure (days),Owner
RISK-001,Escalation on structural steel beyond the carried allowance,Cost,High,Medium,Mitigate,549600.00,0,Development manager
RISK-002,Long-lead switchgear delivery slips past the energisation date,Schedule,High,Medium,Mitigate,78500.00,45,Development manager
RISK-003,Unforeseen subsurface conditions at foundation,Site,Medium,Medium,Mitigate,235500.00,21,Development manager
RISK-004,Design development growth between SD and CD,Design,Medium,High,Accept,687000.00,0,Development manager
RISK-005,Permit review cycle longer than programmed,Approvals,Medium,Medium,Mitigate,58900.00,30,Development manager
RISK-006,Subcontractor default during buyout,Commercial,High,Low,Transfer,353300.00,35,Development manager
RISK-007,Adverse weather beyond the allowance in the baseline,Schedule,Low,High,Accept,39300.00,14,Development manager
RISK-008,Interest rate movement before the construction loan is fixed,Finance,High,Medium,Transfer,412200.00,0,Development manager
RISK-009,Brand standard revision after design freeze,Design,Medium,Medium,Mitigate,274800.00,20,Development manager

,TOTAL UNWEIGHTED EXPOSURE,,,,,2689100.00,165,
