Ref,Risk,Category,Impact,Probability,Response,Cost exposure,Schedule exposure (days),Owner
RISK-001,Escalation on structural steel beyond the carried allowance,Cost,High,Medium,Mitigate,1801000.00,0,Development manager
RISK-002,Long-lead switchgear delivery slips past the energisation date,Schedule,High,Medium,Mitigate,257300.00,45,Development manager
RISK-003,Unforeseen subsurface conditions at foundation,Site,Medium,Medium,Mitigate,771800.00,21,Development manager
RISK-004,Design development growth between SD and CD,Design,Medium,High,Accept,2251200.00,0,Development manager
RISK-005,Permit review cycle longer than programmed,Approvals,Medium,Medium,Mitigate,193000.00,30,Development manager
RISK-006,Subcontractor default during buyout,Commercial,High,Low,Transfer,1157800.00,35,Development manager
RISK-007,Adverse weather beyond the allowance in the baseline,Schedule,Low,High,Accept,128600.00,14,Development manager
RISK-008,Interest rate movement before the construction loan is fixed,Finance,High,Medium,Transfer,1350700.00,0,Development manager
RISK-009,Anchor tenant requirements change the core layout,Design,Medium,Medium,Mitigate,1029100.00,25,Development manager

,TOTAL UNWEIGHTED EXPOSURE,,,,,8940500.00,170,
