Ref,Risk,Category,Impact,Probability,Response,Cost exposure,Schedule exposure (days),Owner
RISK-001,Escalation on structural steel beyond the carried allowance,Cost,High,Medium,Mitigate,875800.00,0,Development manager
RISK-002,Long-lead switchgear delivery slips past the energisation date,Schedule,High,Medium,Mitigate,125100.00,45,Development manager
RISK-003,Unforeseen subsurface conditions at foundation,Site,Medium,Medium,Mitigate,375400.00,21,Development manager
RISK-004,Design development growth between SD and CD,Design,Medium,High,Accept,1094800.00,0,Development manager
RISK-005,Permit review cycle longer than programmed,Approvals,Medium,Medium,Mitigate,93800.00,30,Development manager
RISK-006,Subcontractor default during buyout,Commercial,High,Low,Transfer,563000.00,35,Development manager
RISK-007,Adverse weather beyond the allowance in the baseline,Schedule,Low,High,Accept,62600.00,14,Development manager
RISK-008,Interest rate movement before the construction loan is fixed,Finance,High,Medium,Transfer,656900.00,0,Development manager
RISK-009,Slab flatness tolerance fails for the racking specification,Quality,High,Low,Mitigate,281500.00,20,Development manager

,TOTAL UNWEIGHTED EXPOSURE,,,,,4128900.00,165,
