Activity ID,WBS,Activity name,Type,Trade,Start,Finish,Duration (wd),Predecessor,Crew,Weather sensitivity,EV method,Location
ACT-001,1.1,Mobilization and site logistics,Summary,Sitework,2026-03-02,2026-03-24,16,,10,Rain / wet,milestone,Whole building
ACT-002,1.2,Mass excavation and shoring,Summary,Sitework,2026-03-24,2026-04-30,27,ACT-001,12,Rain / wet,units,Whole building
ACT-003,1.3,Foundations and below-grade,Summary,Concrete,2026-04-30,2026-06-23,39,ACT-002,14,Freeze / cold,percent,Whole building
ACT-004,1.4,Superstructure,Summary,Structure,2026-06-23,2026-10-10,78,ACT-003,16,Wind,units,Whole building
ACT-004-01,1.4.1,"Level 1 — frame, deck and pour",Task,Structure,2026-06-23,2026-10-10,78,ACT-004,14,Wind,units,Level 1
ACT-005,1.5,Building envelope,Summary,Envelope,2026-10-10,2026-12-30,58,ACT-004,18,Wind,percent,Whole building
ACT-006,1.6,MEP rough-in,Summary,MEP,2026-12-30,2027-03-26,62,ACT-005,20,None,percent,Whole building
ACT-007,1.7,Interior build-out,Summary,Interiors,2027-03-26,2027-06-05,51,ACT-006,22,None,percent,Whole building
ACT-008,1.8,Finishes and fit-out,Summary,Finishes,2027-06-05,2027-07-18,31,ACT-007,24,None,percent,Whole building
ACT-009,1.9,Commissioning and turnover,Summary,Commissioning,2027-07-18,2027-08-24,27,ACT-008,26,None,0-100,Whole building
ACT-900,1.10,Substantial completion,Milestone,Commissioning,2027-08-24,2027-08-24,0,ACT-009,0,None,milestone,Whole building
