Ref,Risk,Category,Impact,Probability,Response,Cost exposure,Schedule exposure (days),Owner
RISK-001,Escalation on structural steel beyond the carried allowance,Cost,High,Medium,Mitigate,2557800.00,0,Development manager
RISK-002,Long-lead switchgear delivery slips past the energisation date,Schedule,High,Medium,Mitigate,365400.00,45,Development manager
RISK-003,Unforeseen subsurface conditions at foundation,Site,Medium,Medium,Mitigate,1096200.00,21,Development manager
RISK-004,Design development growth between SD and CD,Design,Medium,High,Accept,3197300.00,0,Development manager
RISK-005,Permit review cycle longer than programmed,Approvals,Medium,Medium,Mitigate,274000.00,30,Development manager
RISK-006,Subcontractor default during buyout,Commercial,High,Low,Transfer,1644300.00,35,Development manager
RISK-007,Adverse weather beyond the allowance in the baseline,Schedule,Low,High,Accept,182700.00,14,Development manager
RISK-008,Interest rate movement before the construction loan is fixed,Finance,High,Medium,Transfer,1918400.00,0,Development manager
RISK-009,Utility cannot deliver 12 MW on the programmed date,Utility,High,Medium,Mitigate,1827000.00,120,Development manager
RISK-010,Commissioning script failure at integrated systems test,Quality,High,Medium,Mitigate,730800.00,30,Development manager

,TOTAL UNWEIGHTED EXPOSURE,,,,,13793900.00,295,
