Ref,Cost code,Description,Original,Revised,Budget,Committed,Forecast
BUD-001,01,WBS 01 Predevelopment and due diligence,385000,385000,385000,0.0,385000
BUD-002,02,WBS 02 Design and permitting,1650000,1650000,1650000,0.0,1650000
BUD-003,03,WBS 03 Site enabling,420000,420000,420000,0.0,420000
BUD-004,04,WBS 04 Earthwork and civil,1850000,1850000,1850000,0.0,1850000
BUD-005,05,WBS 05 Structural / pad / deck,2600000,2600000,2600000,0.0,2600000
BUD-006,06,WBS 06 Aviation surfaces and markings,780000,780000,780000,0.0,780000
BUD-007,07,WBS 07 Aviation lighting and weather,940000,940000,940000,0.0,940000
BUD-008,08,WBS 08 Electrical and charging,3250000,3250000,3250000,0.0,3250000
BUD-009,09,WBS 09 Fire and life safety,610000,610000,610000,0.0,610000
BUD-010,10,WBS 10 Communications and security,520000,520000,520000,0.0,520000
BUD-011,11,WBS 11 Buildings and support spaces,1750000,1750000,1750000,0.0,1750000
BUD-012,12,WBS 12 Landscape and site amenities,240000,240000,240000,0.0,240000
BUD-013,13,WBS 13 General conditions,1180000,1180000,1180000,0.0,1180000
BUD-014,14,WBS 14 Commissioning and activation,310000,310000,310000,0.0,310000
BUD-015,15,WBS 15 Contingency and escalation,1640000,1640000,1640000,0.0,1640000
BUD-016,00,Land acquisition and closing,2400000,2400000,2400000,0,2400000
BUD-017,00,Developer fee,780000,780000,780000,0,780000
BUD-018,00,Loan fees and construction interest reserve,547015.2,547015.2,547015.2,0,547015.2
