Ref,Risk,Category,Impact,Probability,Response,Cost exposure,Schedule exposure (days),Owner
RISK-001,Escalation on structural steel beyond the carried allowance,Cost,High,Medium,Mitigate,1620700.00,0,Development manager
RISK-002,Long-lead switchgear delivery slips past the energisation date,Schedule,High,Medium,Mitigate,231500.00,45,Development manager
RISK-003,Unforeseen subsurface conditions at foundation,Site,Medium,Medium,Mitigate,694600.00,21,Development manager
RISK-004,Design development growth between SD and CD,Design,Medium,High,Accept,2025800.00,0,Development manager
RISK-005,Permit review cycle longer than programmed,Approvals,Medium,Medium,Mitigate,173600.00,30,Development manager
RISK-006,Subcontractor default during buyout,Commercial,High,Low,Transfer,1041800.00,35,Development manager
RISK-007,Adverse weather beyond the allowance in the baseline,Schedule,Low,High,Accept,115800.00,14,Development manager
RISK-008,Interest rate movement before the construction loan is fixed,Finance,High,Medium,Transfer,1215500.00,0,Development manager
RISK-009,Podium transfer structure redesign after retail tenant fit criteria change,Design,High,Medium,Mitigate,1447000.00,35,Development manager

,TOTAL UNWEIGHTED EXPOSURE,,,,,8566300.00,180,
