Activity ID,WBS,Activity name,Type,Trade,Start,Finish,Duration (wd),Predecessor,Crew,Weather sensitivity,EV method,Location
ACT-001,1.1,Mobilization and site logistics,Summary,Sitework,2026-03-02,2026-04-20,35,,10,Rain / wet,milestone,Whole building
ACT-002,1.2,Mass excavation and shoring,Summary,Sitework,2026-04-20,2026-07-14,61,ACT-001,12,Rain / wet,units,Whole building
ACT-003,1.3,Foundations and below-grade,Summary,Concrete,2026-07-14,2026-11-12,87,ACT-002,14,Freeze / cold,percent,Whole building
ACT-004,1.4,Superstructure,Summary,Structure,2026-11-12,2027-07-13,174,ACT-003,16,Wind,units,Whole building
ACT-004-01,1.4.1,"Level 1 — frame, deck and pour",Task,Structure,2026-11-12,2027-03-13,87,ACT-004,14,Wind,units,Level 1
ACT-004-02,1.4.2,"Level 2 — frame, deck and pour",Task,Structure,2027-03-13,2027-07-12,87,ACT-004-01,14,Wind,units,Level 2
ACT-005,1.5,Building envelope,Summary,Envelope,2027-07-13,2028-01-11,130,ACT-004,18,Wind,percent,Whole building
ACT-006,1.6,MEP rough-in,Summary,MEP,2028-01-11,2028-07-23,139,ACT-005,20,None,percent,Whole building
ACT-007,1.7,Interior build-out,Summary,Interiors,2028-07-23,2028-12-28,113,ACT-006,22,None,percent,Whole building
ACT-008,1.8,Finishes and fit-out,Summary,Finishes,2028-12-28,2029-04-03,69,ACT-007,24,None,percent,Whole building
ACT-009,1.9,Commissioning and turnover,Summary,Commissioning,2029-04-03,2029-06-27,61,ACT-008,26,None,0-100,Whole building
ACT-900,1.10,Substantial completion,Milestone,Commissioning,2029-06-27,2029-06-27,0,ACT-009,0,None,milestone,Whole building
